Time,Key,Value
Behavioral_H1,Mouse4,0
Behavioral_H2,Mouse4,4
Behavioral_H3,Mouse4,1
Behavioral_H4,Mouse4,0
Behavioral_H5,Mouse4,0
Behavioral_H6,Mouse4,0
Behavioral_H7,Mouse4,0
Behavioral_H8,Mouse4,0
Behavioral_H9,Mouse4,0
Behavioral_H10,Mouse4,0
Behavioral_H11,Mouse4,0
Behavioral_H12,Mouse4,0
Behavioral_H1,Mouse7,0
Behavioral_H2,Mouse7,0
Behavioral_H3,Mouse7,1
Behavioral_H4,Mouse7,0
Behavioral_H5,Mouse7,0
Behavioral_H6,Mouse7,1
Behavioral_H7,Mouse7,0
Behavioral_H8,Mouse7,0
Behavioral_H9,Mouse7,0
Behavioral_H10,Mouse7,0
Behavioral_H11,Mouse7,0
Behavioral_H12,Mouse7,0
Behavioral_H1,Mouse8,2
Behavioral_H2,Mouse8,6
Behavioral_H3,Mouse8,2
Behavioral_H4,Mouse8,0
Behavioral_H5,Mouse8,1
Behavioral_H6,Mouse8,4
Behavioral_H7,Mouse8,0
Behavioral_H8,Mouse8,0
Behavioral_H9,Mouse8,0
Behavioral_H10,Mouse8,0
Behavioral_H11,Mouse8,0
Behavioral_H12,Mouse8,0
Behavioral_H1,Mouse47,0
Behavioral_H2,Mouse47,0
Behavioral_H3,Mouse47,0
Behavioral_H4,Mouse47,0
Behavioral_H5,Mouse47,0
Behavioral_H6,Mouse47,0
Behavioral_H7,Mouse47,0
Behavioral_H8,Mouse47,0
Behavioral_H9,Mouse47,0
Behavioral_H10,Mouse47,0
Behavioral_H11,Mouse47,0
Behavioral_H12,Mouse47,0
Behavioral_H1,Mouse20,1
Behavioral_H2,Mouse20,1
Behavioral_H3,Mouse20,1
Behavioral_H4,Mouse20,0
Behavioral_H5,Mouse20,0
Behavioral_H6,Mouse20,0
Behavioral_H7,Mouse20,0
Behavioral_H8,Mouse20,0
Behavioral_H9,Mouse20,0
Behavioral_H10,Mouse20,0
Behavioral_H11,Mouse20,0
Behavioral_H12,Mouse20,0
Behavioral_H1,Mouse21,8
Behavioral_H2,Mouse21,2
Behavioral_H3,Mouse21,2
Behavioral_H4,Mouse21,0
Behavioral_H5,Mouse21,0
Behavioral_H6,Mouse21,0
Behavioral_H7,Mouse21,0
Behavioral_H8,Mouse21,0
Behavioral_H9,Mouse21,0
Behavioral_H10,Mouse21,0
Behavioral_H11,Mouse21,0
Behavioral_H12,Mouse21,0
Behavioral_H1,Mouse32,1
Behavioral_H2,Mouse32,0
Behavioral_H3,Mouse32,0
Behavioral_H4,Mouse32,0
Behavioral_H5,Mouse32,0
Behavioral_H6,Mouse32,0
Behavioral_H7,Mouse32,0
Behavioral_H8,Mouse32,0
Behavioral_H9,Mouse32,0
Behavioral_H10,Mouse32,0
Behavioral_H11,Mouse32,0
Behavioral_H12,Mouse32,0
Behavioral_H1,Mouse5,0
Behavioral_H2,Mouse5,0
Behavioral_H3,Mouse5,0
Behavioral_H4,Mouse5,0
Behavioral_H5,Mouse5,0
Behavioral_H6,Mouse5,0
Behavioral_H7,Mouse5,0
Behavioral_H8,Mouse5,0
Behavioral_H9,Mouse5,0
Behavioral_H10,Mouse5,0
Behavioral_H11,Mouse5,0
Behavioral_H12,Mouse5,0
Behavioral_H1,Mouse11,0
Behavioral_H2,Mouse11,0
Behavioral_H3,Mouse11,0
Behavioral_H4,Mouse11,0
Behavioral_H5,Mouse11,0
Behavioral_H6,Mouse11,0
Behavioral_H7,Mouse11,0
Behavioral_H8,Mouse11,0
Behavioral_H9,Mouse11,0
Behavioral_H10,Mouse11,0
Behavioral_H11,Mouse11,0
Behavioral_H12,Mouse11,0
Behavioral_H1,Mouse53,0
Behavioral_H2,Mouse53,2
Behavioral_H3,Mouse53,0
Behavioral_H4,Mouse53,0
Behavioral_H5,Mouse53,0
Behavioral_H6,Mouse53,0
Behavioral_H7,Mouse53,0
Behavioral_H8,Mouse53,0
Behavioral_H9,Mouse53,0
Behavioral_H10,Mouse53,0
Behavioral_H11,Mouse53,0
Behavioral_H12,Mouse53,0
Behavioral_H1,Mouse54,0
Behavioral_H2,Mouse54,0
Behavioral_H3,Mouse54,0
Behavioral_H4,Mouse54,0
Behavioral_H5,Mouse54,0
Behavioral_H6,Mouse54,0
Behavioral_H7,Mouse54,0
Behavioral_H8,Mouse54,0
Behavioral_H9,Mouse54,0
Behavioral_H10,Mouse54,0
Behavioral_H11,Mouse54,0
Behavioral_H12,Mouse54,0
Behavioral_H1,Mouse55,0
Behavioral_H2,Mouse55,3
Behavioral_H3,Mouse55,1
Behavioral_H4,Mouse55,0
Behavioral_H5,Mouse55,0
Behavioral_H6,Mouse55,0
Behavioral_H7,Mouse55,0
Behavioral_H8,Mouse55,0
Behavioral_H9,Mouse55,0
Behavioral_H10,Mouse55,0
Behavioral_H11,Mouse55,0
Behavioral_H12,Mouse55,0
Behavioral_H1,Mouse2,0
Behavioral_H2,Mouse2,2
Behavioral_H3,Mouse2,0
Behavioral_H4,Mouse2,0
Behavioral_H5,Mouse2,0
Behavioral_H6,Mouse2,0
Behavioral_H7,Mouse2,0
Behavioral_H8,Mouse2,0
Behavioral_H9,Mouse2,0
Behavioral_H10,Mouse2,0
Behavioral_H11,Mouse2,0
Behavioral_H12,Mouse2,0
Behavioral_H1,Mouse9,0
Behavioral_H2,Mouse9,4
Behavioral_H3,Mouse9,1
Behavioral_H4,Mouse9,1
Behavioral_H5,Mouse9,0
Behavioral_H6,Mouse9,0
Behavioral_H7,Mouse9,0
Behavioral_H8,Mouse9,2
Behavioral_H9,Mouse9,1
Behavioral_H10,Mouse9,0
Behavioral_H11,Mouse9,0
Behavioral_H12,Mouse9,0
Behavioral_H1,Mouse10,0
Behavioral_H2,Mouse10,0
Behavioral_H3,Mouse10,3
Behavioral_H4,Mouse10,0
Behavioral_H5,Mouse10,0
Behavioral_H6,Mouse10,0
Behavioral_H7,Mouse10,0
Behavioral_H8,Mouse10,0
Behavioral_H9,Mouse10,0
Behavioral_H10,Mouse10,0
Behavioral_H11,Mouse10,0
Behavioral_H12,Mouse10,0
Behavioral_H1,Mouse50,0
Behavioral_H2,Mouse50,1
Behavioral_H3,Mouse50,1
Behavioral_H4,Mouse50,0
Behavioral_H5,Mouse50,0
Behavioral_H6,Mouse50,0
